shipment_id,contract_ref,sales_order,delivery_mode,stage_gate,lct_status,sap_status,k2_flag,k2_chit_flag,customs_release_flag,customs_official_receipt_flag,certificate_of_origin_flag,bill_of_lading_flag,shipment_tender_flag,loi_flag,commercial_invoice_flag,ocr_confidence_pct,k2_flag_bool,k2_chit_flag_bool,customs_release_flag_bool,customs_official_receipt_flag_bool,certificate_of_origin_flag_bool,bill_of_lading_flag_bool,shipment_tender_flag_bool,loi_flag_bool
SHP-700161,CTR-2025161,SO-500161,Land,SG6,In Progress,Cancelled,Y,N,Y,Y,N/A,N,Y,N,Y,78.1,True,False,True,True,False,False,True,False
SHP-700162,CTR-2025162,SO-500162,Sea,SG9,In Progress,Delivered,Y,Y,N,Y,N,Y,Y,Y,Y,89.9,True,True,False,True,False,True,True,True
SHP-700163,CTR-2025163,SO-500163,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,76.9,True,True,True,True,True,True,True,True
SHP-700164,CTR-2025164,SO-500164,Land,SG10,Complete,Open,Y,Y,Y,Y,N/A,Y,Y,Y,Y,87.9,True,True,True,True,False,True,True,True
SHP-700165,CTR-2025165,SO-500165,Sea,SG6,In Progress,Open,Y,N,Y,N,Y,Y,Y,Y,Y,97.7,True,False,True,False,True,True,True,True
SHP-700166,CTR-2025166,SO-500166,Sea,SG7,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,Y,Y,85.9,False,True,True,True,True,True,True,True
SHP-700167,CTR-2025167,SO-500167,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,96.9,True,True,True,True,True,True,True,True
SHP-700168,CTR-2025168,SO-500168,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,81.1,True,True,True,True,True,True,True,False
SHP-700169,CTR-2025169,SO-500169,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,82.3,True,True,True,True,True,True,True,True
SHP-700170,CTR-2025170,SO-500170,Sea,SG6,In Progress,Delivered,N,Y,Y,N,Y,Y,N,Y,Y,91.0,False,True,True,False,True,True,False,True
SHP-700171,CTR-2025171,SO-500171,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,73.4,True,True,True,True,False,True,True,False
SHP-700172,CTR-2025172,SO-500172,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,75.6,True,True,True,True,True,True,True,False
SHP-700173,CTR-2025173,SO-500173,Sea,SG8,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,Y,Y,78.8,True,False,True,True,True,True,True,True
SHP-700174,CTR-2025174,SO-500174,Sea,SG9,In Progress,Cancelled,Y,Y,Y,N,Y,Y,N,Y,Y,86.8,True,True,True,False,True,True,False,True
SHP-700175,CTR-2025175,SO-500175,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,73.8,True,True,True,True,True,True,True,True
SHP-700176,CTR-2025176,SO-500176,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,97.5,True,True,True,True,True,True,True,False
SHP-700177,CTR-2025177,SO-500177,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,79.5,True,True,True,True,True,True,True,True
SHP-700178,CTR-2025178,SO-500178,Sea,SG6,In Progress,Cancelled,Y,Y,N,Y,Y,Y,Y,N,Y,75.1,True,True,False,True,True,True,True,False
SHP-700179,CTR-2025179,SO-500179,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,77.5,True,True,True,True,True,True,True,False
SHP-700180,CTR-2025180,SO-500180,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,N,Y,Y,74.0,True,True,True,True,True,True,False,True
SHP-700181,CTR-2025181,SO-500181,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,72.4,True,True,True,True,False,True,True,True
SHP-700182,CTR-2025182,SO-500182,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,88.1,True,True,True,True,True,True,True,False
SHP-700183,CTR-2025183,SO-500183,Sea,SG8,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,Y,Y,77.5,True,True,True,True,False,True,True,True
SHP-700184,CTR-2025184,SO-500184,Sea,SG8,In Progress,Open,Y,Y,Y,N,Y,Y,Y,N,Y,84.2,True,True,True,False,True,True,True,False
SHP-700185,CTR-2025185,SO-500185,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,72.2,True,True,True,True,True,True,True,True
SHP-700186,CTR-2025186,SO-500186,Sea,SG8,In Progress,Open,Y,N,Y,Y,Y,Y,Y,N,Y,91.5,True,False,True,True,True,True,True,False
SHP-700187,CTR-2025187,SO-500187,Land,SG8,In Progress,Open,N,Y,Y,Y,N/A,Y,Y,N,Y,74.5,False,True,True,True,False,True,True,False
SHP-700188,CTR-2025188,SO-500188,Sea,SG8,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,N,Y,78.7,True,True,False,True,True,True,True,False
SHP-700189,CTR-2025189,SO-500189,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,94.6,False,True,True,True,True,True,True,False
SHP-700190,CTR-2025190,SO-500190,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,91.9,True,True,True,True,True,True,True,True
SHP-700191,CTR-2025191,SO-500191,Sea,SG6,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,81.9,True,False,True,True,True,True,True,False
SHP-700192,CTR-2025192,SO-500192,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,83.5,True,True,True,True,True,True,True,False
SHP-700193,CTR-2025193,SO-500193,Sea,SG9,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,N,Y,72.6,True,True,False,True,True,True,True,False
SHP-700194,CTR-2025194,SO-500194,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,83.1,True,True,True,True,False,True,True,False
SHP-700195,CTR-2025195,SO-500195,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,N,Y,Y,N,Y,95.8,True,True,True,False,False,True,True,False
SHP-700196,CTR-2025196,SO-500196,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,86.5,True,True,True,True,False,True,True,False
SHP-700197,CTR-2025197,SO-500197,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,80.8,True,True,True,True,True,True,True,True
SHP-700198,CTR-2025198,SO-500198,Sea,SG7,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,85.6,True,True,True,False,True,True,True,False
SHP-700199,CTR-2025199,SO-500199,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,88.5,True,True,True,True,True,True,True,True
SHP-700200,CTR-2025200,SO-500200,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,N,Y,72.1,False,True,True,True,False,True,True,False
SHP-700201,CTR-2025201,SO-500201,Sea,SG8,In Progress,Open,Y,Y,Y,N,Y,Y,Y,N,Y,96.1,True,True,True,False,True,True,True,False
SHP-700202,CTR-2025202,SO-500202,Sea,SG8,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,Y,Y,73.6,True,True,True,True,False,True,True,True
SHP-700203,CTR-2025203,SO-500203,Sea,SG9,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,N,Y,83.6,True,True,True,True,False,True,True,False
SHP-700204,CTR-2025204,SO-500204,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,89.0,True,True,True,True,True,True,True,False
SHP-700205,CTR-2025205,SO-500205,Sea,SG9,In Progress,Delivered,Y,N,N,Y,Y,Y,Y,N,Y,77.6,True,False,False,True,True,True,True,False
SHP-700206,CTR-2025206,SO-500206,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,73.9,True,True,True,True,False,True,True,False
SHP-700207,CTR-2025207,SO-500207,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,86.5,True,True,True,True,True,True,True,False
SHP-700208,CTR-2025208,SO-500208,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,77.0,True,True,True,True,True,True,True,True
SHP-700209,CTR-2025209,SO-500209,Sea,SG9,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,Y,Y,77.5,True,True,False,True,True,True,True,True
SHP-700210,CTR-2025210,SO-500210,Sea,SG8,In Progress,Cancelled,N,Y,Y,Y,Y,Y,Y,N,Y,74.0,False,True,True,True,True,True,True,False
SHP-700211,CTR-2025211,SO-500211,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,81.5,True,True,True,True,True,True,True,False
SHP-700212,CTR-2025212,SO-500212,Land,SG9,In Progress,Delivered,Y,N,Y,Y,N/A,Y,Y,Y,Y,91.1,True,False,True,True,False,True,True,True
SHP-700213,CTR-2025213,SO-500213,Sea,SG4,In Progress,Delivered,N,N,Y,N,Y,Y,Y,Y,Y,86.8,False,False,True,False,True,True,True,True
SHP-700214,CTR-2025214,SO-500214,Sea,SG7,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,Y,Y,75.8,False,True,True,True,True,True,True,True
SHP-700215,CTR-2025215,SO-500215,Sea,SG8,In Progress,Open,Y,Y,Y,N,Y,Y,Y,Y,Y,96.5,True,True,True,False,True,True,True,True
SHP-700216,CTR-2025216,SO-500216,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,84.8,True,True,True,True,True,True,True,True
SHP-700217,CTR-2025217,SO-500217,Sea,SG9,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,N,Y,96.5,True,True,True,True,False,True,True,False
SHP-700218,CTR-2025218,SO-500218,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,Y,Y,93.5,True,False,True,True,False,True,True,True
SHP-700219,CTR-2025219,SO-500219,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,77.2,True,True,True,True,False,True,True,False
SHP-700220,CTR-2025220,SO-500220,Land,SG6,In Progress,Delivered,Y,N,Y,Y,N/A,Y,Y,Y,Y,93.0,True,False,True,True,False,True,True,True
SHP-700221,CTR-2025221,SO-500221,Sea,SG7,In Progress,Delivered,Y,N,Y,Y,N,Y,N,N,Y,79.0,True,False,True,True,False,True,False,False
SHP-700222,CTR-2025222,SO-500222,Sea,SG5,In Progress,Delivered,N,Y,Y,N,N,N,Y,Y,Y,96.2,False,True,True,False,False,False,True,True
SHP-700223,CTR-2025223,SO-500223,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,87.6,True,True,True,True,True,True,True,True
SHP-700224,CTR-2025224,SO-500224,Sea,SG7,In Progress,Cancelled,N,N,Y,Y,Y,Y,Y,Y,Y,98.9,False,False,True,True,True,True,True,True
SHP-700225,CTR-2025225,SO-500225,Sea,SG5,In Progress,Delivered,Y,N,N,N,Y,Y,Y,N,Y,87.3,True,False,False,False,True,True,True,False
SHP-700226,CTR-2025226,SO-500226,Sea,SG5,In Progress,Delivered,Y,Y,N,Y,N,N,Y,Y,Y,73.1,True,True,False,True,False,False,True,True
SHP-700227,CTR-2025227,SO-500227,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,98.7,True,True,True,True,True,True,True,False
SHP-700228,CTR-2025228,SO-500228,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,97.1,True,True,True,True,True,True,True,False
SHP-700229,CTR-2025229,SO-500229,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,91.3,True,True,True,True,False,True,True,True
SHP-700230,CTR-2025230,SO-500230,Sea,SG8,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,76.5,True,False,True,True,True,True,True,False
SHP-700231,CTR-2025231,SO-500231,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,88.2,True,True,True,True,True,True,True,False
SHP-700232,CTR-2025232,SO-500232,Sea,SG9,In Progress,Cancelled,N,Y,Y,Y,Y,Y,N,N,Y,93.0,False,True,True,True,True,True,False,False
SHP-700233,CTR-2025233,SO-500233,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,82.9,True,True,True,True,True,False,True,False
SHP-700234,CTR-2025234,SO-500234,Sea,SG9,In Progress,Cancelled,N,Y,Y,Y,N,Y,Y,N,Y,73.4,False,True,True,True,False,True,True,False
SHP-700235,CTR-2025235,SO-500235,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,Y,Y,77.7,False,True,True,True,False,True,True,True
SHP-700236,CTR-2025236,SO-500236,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,72.8,True,True,True,True,False,True,True,True
SHP-700237,CTR-2025237,SO-500237,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,73.8,True,True,True,True,True,True,True,False
SHP-700238,CTR-2025238,SO-500238,Sea,SG9,In Progress,Cancelled,Y,Y,Y,N,Y,Y,N,N,Y,77.7,True,True,True,False,True,True,False,False
SHP-700239,CTR-2025239,SO-500239,Sea,SG4,In Progress,Delivered,Y,Y,N,N,N,Y,Y,N,Y,92.5,True,True,False,False,False,True,True,False
SHP-700240,CTR-2025240,SO-500240,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,75.5,True,True,True,True,False,True,True,False
SHP-700241,CTR-2025241,SO-500241,Sea,SG6,In Progress,Open,Y,Y,N,Y,Y,Y,Y,Y,Y,81.3,True,True,False,True,True,True,True,True
SHP-700242,CTR-2025242,SO-500242,Sea,SG4,In Progress,Delivered,Y,N,Y,Y,N,N,Y,N,Y,75.7,True,False,True,True,False,False,True,False
SHP-700243,CTR-2025243,SO-500243,Sea,SG7,In Progress,Cancelled,Y,Y,Y,Y,N,Y,N,N,Y,84.4,True,True,True,True,False,True,False,False
SHP-700244,CTR-2025244,SO-500244,Sea,SG8,In Progress,Open,Y,Y,Y,Y,N,Y,Y,Y,Y,90.0,True,True,True,True,False,True,True,True
SHP-700245,CTR-2025245,SO-500245,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,82.0,True,True,True,True,True,True,True,True
SHP-700246,CTR-2025246,SO-500246,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,95.2,True,True,True,True,True,True,True,True
SHP-700247,CTR-2025247,SO-500247,Sea,SG6,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,76.7,True,True,True,False,True,True,True,False
SHP-700248,CTR-2025248,SO-500248,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,89.9,True,True,True,True,True,True,True,False
SHP-700249,CTR-2025249,SO-500249,Sea,SG7,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,N,Y,79.7,False,True,True,True,False,True,True,False
SHP-700250,CTR-2025250,SO-500250,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,Y,Y,74.3,True,True,False,True,True,True,True,True
SHP-700251,CTR-2025251,SO-500251,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,95.6,True,True,True,True,True,True,True,False
SHP-700252,CTR-2025252,SO-500252,Sea,SG9,In Progress,Open,Y,Y,Y,Y,N,Y,Y,Y,Y,76.1,True,True,True,True,False,True,True,True
SHP-700253,CTR-2025253,SO-500253,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,77.6,True,True,True,True,False,True,True,False
SHP-700254,CTR-2025254,SO-500254,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,83.6,True,True,True,True,True,False,True,False
SHP-700255,CTR-2025255,SO-500255,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,N,Y,77.5,True,True,True,True,True,True,False,False
SHP-700256,CTR-2025256,SO-500256,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,N,Y,72.9,True,True,True,True,True,True,False,False
SHP-700257,CTR-2025257,SO-500257,Sea,SG6,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,73.3,True,True,True,False,True,True,True,False
SHP-700258,CTR-2025258,SO-500258,Sea,SG9,In Progress,Delivered,Y,N,Y,N,Y,Y,Y,N,Y,82.6,True,False,True,False,True,True,True,False
SHP-700259,CTR-2025259,SO-500259,Sea,SG6,In Progress,Open,Y,N,Y,Y,Y,Y,Y,N,Y,82.5,True,False,True,True,True,True,True,False
SHP-700260,CTR-2025260,SO-500260,Sea,SG6,In Progress,Delivered,N,N,Y,Y,Y,Y,Y,N,Y,72.8,False,False,True,True,True,True,True,False
SHP-700261,CTR-2025261,SO-500261,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,94.9,True,True,True,True,True,True,True,True
SHP-700262,CTR-2025262,SO-500262,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,Y,Y,91.3,True,True,True,True,True,True,False,True
SHP-700263,CTR-2025263,SO-500263,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,79.0,True,True,True,True,True,True,True,False
SHP-700264,CTR-2025264,SO-500264,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,Y,Y,74.5,True,True,True,True,True,True,False,True
SHP-700265,CTR-2025265,SO-500265,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,N,Y,84.7,False,True,True,True,False,True,True,False
SHP-700266,CTR-2025266,SO-500266,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,Y,Y,73.5,True,True,True,True,True,False,True,True
SHP-700267,CTR-2025267,SO-500267,Sea,SG6,In Progress,Cancelled,N,N,Y,Y,Y,Y,Y,Y,Y,96.5,False,False,True,True,True,True,True,True
SHP-700268,CTR-2025268,SO-500268,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,N,Y,Y,N,Y,94.4,True,True,True,False,False,True,True,False
SHP-700269,CTR-2025269,SO-500269,Sea,SG7,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,83.7,False,True,True,True,True,True,True,False
SHP-700270,CTR-2025270,SO-500270,Sea,SG6,In Progress,Delivered,N,N,Y,Y,Y,Y,Y,Y,Y,97.2,False,False,True,True,True,True,True,True
SHP-700271,CTR-2025271,SO-500271,Sea,SG9,In Progress,Cancelled,Y,Y,Y,Y,Y,N,N,N,Y,94.3,True,True,True,True,True,False,False,False
SHP-700272,CTR-2025272,SO-500272,Sea,SG8,In Progress,Open,Y,N,Y,N,Y,Y,Y,Y,Y,73.8,True,False,True,False,True,True,True,True
SHP-700273,CTR-2025273,SO-500273,Sea,SG7,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,N,Y,87.3,True,True,True,True,False,True,True,False
SHP-700274,CTR-2025274,SO-500274,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,81.4,True,True,True,True,True,True,True,True
SHP-700275,CTR-2025275,SO-500275,Sea,SG7,In Progress,Cancelled,N,N,Y,Y,Y,Y,Y,Y,Y,87.6,False,False,True,True,True,True,True,True
SHP-700276,CTR-2025276,SO-500276,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,80.9,True,True,True,True,True,True,True,False
SHP-700277,CTR-2025277,SO-500277,Sea,SG8,In Progress,Delivered,Y,N,Y,Y,Y,N,Y,N,Y,93.8,True,False,True,True,True,False,True,False
SHP-700278,CTR-2025278,SO-500278,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,90.5,True,True,True,True,True,True,True,False
SHP-700279,CTR-2025279,SO-500279,Sea,SG9,In Progress,Delivered,Y,N,Y,N,Y,Y,Y,Y,Y,87.2,True,False,True,False,True,True,True,True
SHP-700280,CTR-2025280,SO-500280,Sea,SG7,In Progress,Delivered,Y,N,N,Y,Y,Y,Y,Y,Y,74.1,True,False,False,True,True,True,True,True
SHP-700281,CTR-2025281,SO-500281,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,78.9,True,True,True,True,True,True,True,True
SHP-700282,CTR-2025282,SO-500282,Sea,SG7,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,76.9,False,True,True,True,True,True,True,False
SHP-700283,CTR-2025283,SO-500283,Sea,SG4,In Progress,Delivered,N,Y,Y,N,N,Y,Y,Y,Y,78.2,False,True,True,False,False,True,True,True
SHP-700284,CTR-2025284,SO-500284,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,89.2,True,True,True,True,True,True,True,True
SHP-700285,CTR-2025285,SO-500285,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,94.3,True,True,True,True,True,True,True,False
SHP-700286,CTR-2025286,SO-500286,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,78.8,False,True,True,True,True,True,True,False
SHP-700287,CTR-2025287,SO-500287,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,N,Y,79.3,True,True,True,True,True,True,False,False
SHP-700288,CTR-2025288,SO-500288,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,93.7,False,True,True,True,True,True,True,False
SHP-700289,CTR-2025289,SO-500289,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,89.8,True,True,True,True,True,True,True,False
SHP-700290,CTR-2025290,SO-500290,Sea,SG8,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,86.8,True,False,True,True,True,True,True,False
SHP-700291,CTR-2025291,SO-500291,Sea,SG8,In Progress,Delivered,Y,N,Y,Y,N,Y,N,Y,Y,82.6,True,False,True,True,False,True,False,True
SHP-700292,CTR-2025292,SO-500292,Sea,SG6,In Progress,Delivered,N,N,Y,N,Y,Y,N,N,Y,94.5,False,False,True,False,True,True,False,False
SHP-700293,CTR-2025293,SO-500293,Sea,SG6,In Progress,Open,Y,N,Y,Y,N,N,N,N,Y,73.1,True,False,True,True,False,False,False,False
SHP-700294,CTR-2025294,SO-500294,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,N,Y,Y,Y,Y,73.1,True,True,True,False,False,True,True,True
SHP-700295,CTR-2025295,SO-500295,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,96.4,True,True,True,True,True,True,True,True
SHP-700296,CTR-2025296,SO-500296,Sea,SG9,In Progress,Open,Y,Y,Y,Y,N,Y,Y,Y,Y,78.1,True,True,True,True,False,True,True,True
SHP-700297,CTR-2025297,SO-500297,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,N,Y,Y,77.7,True,True,True,True,False,True,False,True
SHP-700298,CTR-2025298,SO-500298,Sea,SG7,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,76.4,True,False,True,True,True,True,True,False
SHP-700299,CTR-2025299,SO-500299,Sea,SG9,In Progress,Open,Y,Y,Y,N,Y,Y,Y,N,Y,83.0,True,True,True,False,True,True,True,False
SHP-700300,CTR-2025300,SO-500300,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,N,Y,79.0,True,False,True,True,False,True,True,False
SHP-700301,CTR-2025301,SO-500301,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,94.3,True,True,True,True,True,True,True,False
SHP-700302,CTR-2025302,SO-500302,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,79.3,True,True,True,True,True,True,True,False
SHP-700303,CTR-2025303,SO-500303,Sea,SG8,In Progress,Open,N,Y,Y,Y,N,Y,Y,Y,Y,87.6,False,True,True,True,False,True,True,True
SHP-700304,CTR-2025304,SO-500304,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,87.2,True,True,True,True,True,True,True,False
SHP-700305,CTR-2025305,SO-500305,Sea,SG8,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,72.4,True,False,True,True,True,True,True,False
SHP-700306,CTR-2025306,SO-500306,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,78.8,True,False,True,True,True,True,True,False
SHP-700307,CTR-2025307,SO-500307,Sea,SG4,In Progress,Open,Y,N,Y,Y,N,N,Y,Y,Y,90.3,True,False,True,True,False,False,True,True
SHP-700308,CTR-2025308,SO-500308,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,78.1,True,True,True,True,True,True,True,False
SHP-700309,CTR-2025309,SO-500309,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,88.4,True,True,True,True,True,True,True,False
SHP-700310,CTR-2025310,SO-500310,Sea,SG6,In Progress,Delivered,Y,N,Y,Y,Y,N,Y,Y,Y,84.6,True,False,True,True,True,False,True,True
SHP-700311,CTR-2025311,SO-500311,Sea,SG6,In Progress,Open,N,N,N,Y,N,Y,Y,N,Y,76.7,False,False,False,True,False,True,True,False
SHP-700312,CTR-2025312,SO-500312,Sea,SG8,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,N,Y,85.5,True,True,False,True,True,True,True,False
SHP-700313,CTR-2025313,SO-500313,Sea,SG8,In Progress,Delivered,N,N,Y,Y,Y,Y,Y,N,Y,91.3,False,False,True,True,True,True,True,False
SHP-700314,CTR-2025314,SO-500314,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,Y,Y,97.5,True,True,True,True,True,False,True,True
SHP-700315,CTR-2025315,SO-500315,Sea,SG8,In Progress,Open,Y,N,Y,Y,N,Y,Y,Y,Y,72.4,True,False,True,True,False,True,True,True
SHP-700316,CTR-2025316,SO-500316,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,N,Y,94.5,True,True,True,True,True,True,False,False
SHP-700317,CTR-2025317,SO-500317,Sea,SG7,In Progress,Open,Y,Y,Y,Y,N,Y,Y,Y,Y,72.0,True,True,True,True,False,True,True,True
SHP-700318,CTR-2025318,SO-500318,Sea,SG8,In Progress,Cancelled,Y,Y,N,Y,N,Y,Y,Y,Y,87.3,True,True,False,True,False,True,True,True
SHP-700319,CTR-2025319,SO-500319,Sea,SG6,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,N,Y,74.6,True,False,True,True,True,True,True,False
SHP-700320,CTR-2025320,SO-500320,Sea,SG6,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,N,Y,98.9,True,False,True,True,False,True,True,False
SHP-700321,CTR-2025321,SO-500321,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,80.5,True,True,True,True,True,True,True,True
SHP-700322,CTR-2025322,SO-500322,Sea,SG4,In Progress,Delivered,N,Y,Y,Y,N,N,Y,Y,Y,95.6,False,True,True,True,False,False,True,True
SHP-700323,CTR-2025323,SO-500323,Sea,SG8,In Progress,Open,Y,Y,Y,N,Y,Y,Y,N,Y,88.7,True,True,True,False,True,True,True,False
SHP-700324,CTR-2025324,SO-500324,Sea,SG5,In Progress,Open,Y,N,Y,N,N,Y,Y,N,Y,86.6,True,False,True,False,False,True,True,False
